"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"308","Baume Flandin","Baume Flandin, Level 3, Micromammals","Terrace Unit 3","-","-","-"
"309","Baume Flandin","Baume Flandin, Middle Palaeolithic Level , Micromammals","Cave Unit 1","-","-","-"
"310","Baume de Gigny","Baume de Gigny Fauna Level V","Unit V","-","-","-"
"311","Baume de Gigny","Baume de Gigny Fauna Level VI","Unit VI","-","-","-"
"312","Baume de Gigny","Baume de Gigny Fauna Level IX","Unit IX","-","-","-"
"313","Baume de Gigny","Baume de Gigny Fauna Level X","Unit X","-","-","-"
"314","Baume de Gigny","Baume de Gigny Fauna Level XI","Unit XI","-","-","-"
"315","Baume de Gigny","Baume de Gigny Fauna Level XII","Unit XII","-","-","-"
"316","Baume de Gigny","Baume de Gigny Fauna Level XIII","Unit XIII","-","-","-"
"317","Baume de Gigny","Baume de Gigny Fauna Level XIV","Unit XIV","-","-","-"
"318","Baume de Gigny","Baume de Gigny Fauna Level XV","Unit XV","-","-","-"
"319","Baume de Gigny","Baume de Gigny Fauna Level XVI","Unit XVI","-","-","-"
"320","Baume de Gigny","Baume de Gigny Fauna Level XVII","Unit XVII","-","-","-"
"321","Baume de Gigny","Baume de Gigny Fauna Level XIX","Unit XIX","-","-","-"
"322","Baume de Gigny","Baume de Gigny Fauna Level XX","Unit XX","-","-","-"
"323","Baume de Gigny","Baume de Gigny Fauna Level XXII","Unit XXII","-","-","-"
"324","Bawa Yawan","Bawa Yawan, human remains 01","GH5","-","-","-"
"325","Bawa Yawan","Bawa Yawan, GH5, Fauna","GH5","-","-","-"
"326","Bawa Yawan","Bawa Yawan, GH2, Fauna","GH2","-","-","-"
"327","Benzu Rockshelter","Rockshelter Macro-Mammal Fauna","Unit 10","-","-","-"
"328","Benzu Rockshelter","Rockshelter Macro-Mammal Fauna","Unit 6","-","-","-"
"329","Benzu Rockshelter","Rockshelter Macro-Mammal Fauna","Unit 7","-","-","-"
"330","Benzu Rockshelter","Rockshelter Macro-Mammal Fauna","Unit 8","-","-","-"
"331","Benzu Rockshelter","Rockshelter Macro-Mammal Fauna","Unit 9","-","-","-"
