Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Al Wusta,"AW, Unit 3-2, micromammals",Unit 2,-,-,-,-,-,-,-,-,-
,Al Wusta,"AW, Unit 3-2, micromammals",Unit 3a,-,-,98600,7000,7000,OSL (optically stimulated thermoluminescence) dating,-,2018,PD40
,,,,,,,,,,,,
,,,,-,-,103000,10000,10000,ESR (electron spin resonance) dating,-,,WU1601
,Al Wusta,"AW, Unit 3-2, micromammals",Unit 3b,-,-,87600,2500,2500,U series (uranium-thorium) dating,-,2018,AW-1
,Alberndorf I,Fauna,Layer 4,GrA,GrA-5223,27140,650,600,14C (radiocarbon) dating,charcoal,1998,geo_age is the most reliable dating
,,,,,,,,,,,,
,,,,GrA,GrA-5224,28360,760,700,14C (radiocarbon) dating,charcoal,,geo_age is the most reliable dating
,,,,,,,,,,,,
,,,,GrA,GrA-5241,28490,780,700,14C (radiocarbon) dating,charcoal,,geo_age is the most reliable dating
,,,,,,,,,,,,
,,,,GrA,GrA-5242,27080,650,600,14C (radiocarbon) dating,charcoal,,geo_age is the most reliable dating
,Altamura,Surface Level Macromammal Fauna,Surface Level,-,-,-,-,-,-,-,-,-
,Altamura,Surface Level Micromammal Fauna,Surface Level,-,-,-,-,-,-,-,-,-
,Amud Cave,"B1, Fauna",Layer B1,CEA-CNRS,11,49000,4600,4600,TL (thermoluminescence) dating,lithic burnt,2001,-
,,,,,,,,,,,,
,,,,CEA-CNRS,12,70600,6900,6900,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,37,61300,5200,5200,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,38,59400,5100,5100,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,40,51600,3700,3700,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,41,58100,4100,4100,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,MESRL,95505,53000,7000,7000,ESR (electron spin resonance) dating,tooth,,"coupled MS U-Series/ESR Age, material_dated: tooth enamel"
,Amud Cave,"B2, Fauna",Layer B2,CEA-CNRS,10,53100,5500,5500,TL (thermoluminescence) dating,lithic burnt,2001,Sample not included in calculation of weighted mean age
,,,,,,,,,,,,
,,,,CEA-CNRS,13,44500,3900,3900,TL (thermoluminescence) dating,lithic burnt,,Sample not included in calculation of weighted mean age
,,,,,,,,,,,,
,,,,CEA-CNRS,26,55400,4000,4000,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,27,59500,4500,4500,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,32,52700,5500,5500,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,62,52400,6800,6800,TL (thermoluminescence) dating,lithic burnt,,Sample not included in calculation of weighted mean age
,,,,,,,,,,,,
,,,,CEA-CNRS,63,45600,3000,3000,TL (thermoluminescence) dating,lithic burnt,,Sample not included in calculation of weighted mean age
,,,,,,,,,,,,
,,,,CEA-CNRS,64,44100,3100,3100,TL (thermoluminescence) dating,lithic burnt,,Sample not included in calculation of weighted mean age
,,,,,,,,,,,,
,,,,MESRL,95506-8,61000,9000,9000,ESR (electron spin resonance) dating,tooth,,"coupled MS U-Series/ESR Age, material_dated: tooth enamel"
,Amud Cave,"B1, micromammals",Layer B1,CEA-CNRS,11,49000,4600,4600,TL (thermoluminescence) dating,lithic burnt,2001,-
,,,,,,,,,,,,
,,,,CEA-CNRS,12,70600,6900,6900,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,37,61300,5200,5200,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,38,59400,5100,5100,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,40,51600,3700,3700,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,41,58100,4100,4100,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,MESRL,95505,53000,7000,7000,ESR (electron spin resonance) dating,tooth,,"coupled MS U-Series/ESR Age, material_dated: tooth enamel"
,Amud Cave,"B2, micromammals",Layer B2,CEA-CNRS,10,53100,5500,5500,TL (thermoluminescence) dating,lithic burnt,2001,Sample not included in calculation of weighted mean age
,,,,,,,,,,,,
,,,,CEA-CNRS,13,44500,3900,3900,TL (thermoluminescence) dating,lithic burnt,,Sample not included in calculation of weighted mean age
,,,,,,,,,,,,
,,,,CEA-CNRS,26,55400,4000,4000,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,27,59500,4500,4500,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
,,,,CEA-CNRS,32,52700,5500,5500,TL (thermoluminescence) dating,lithic burnt,,-
,,,,,,,,,,,,
